event_name,event_type
GDP q/q,Growth
Revised GDP q/q,Growth
Final GDP q/q,Growth
Manufacturing Sales q/q,Growth
Revised Business Investment q/q,Growth
German Retail Sales m/m,Growth
GDP q/y,Growth
French Flash GDP q/q,Growth
Spanish Flash GDP q/q,Growth
German Prelim GDP q/q,Growth
Italian Prelim GDP q/q,Growth
Prelim Flash GDP q/q,Growth
Advance GDP q/q,Growth
Nationwide HPI m/m,Housing
Construction Spending m/m,Housing
Halifax HPI m/m,Housing
RICS House Price Balance,Housing
Building Permits m/m,Housing
HPI y/y,Housing
New Home Prices m/m,Housing
Construction Output m/m,Housing
Mortgage Delinquencies,Housing
Housing Starts,Housing
Building Permits,Housing
Rightmove HPI m/m,Housing
NHPI m/m,Housing
Existing Home Sales,Housing
New Home Sales,Housing
S&P/CS Composite-20 HPI y/y,Housing
HPI m/m,Housing
Construction Work Done q/q,Housing
Pending Home Sales m/m,Housing
Building Consents m/m,Housing
Housing Starts y/y,Housing
Mortgage Approvals,Housing
Building Approvals m/m,Housing
Housing Equity Withdrawal q/q,Housing
Commodity Prices y/y,Inflation
